id,employment,age
0,170512700,37.2
1000,2462648,37.9
1001,17888,37
1003,78920,41.1
1005,14190,39
1007,6234,37.8
1009,17593,39
1011,4612,38.5
1013,9510,40.1
1015,63737,38.2
1017,15322,41.5
1019,8556,43.9
1021,12590,37.6
1023,5662,43.4
1025,12836,40.2
1027,6687,42
1029,4867,40.6
1031,21304,37.6
1033,28504,41.8
1035,5909,43
1037,2498,44.2
1039,18616,42.4
1041,5411,40.7
1043,40698,39.9
1045,27875,36.1
1047,21096,37.7
1049,36284,37.5
1051,23404,37.8
1053,16896,39.2
1055,49818,40.2
1057,7845,42.5
1059,14490,37.8
1061,9643,42
1063,3433,41.8
1065,5634,40
1067,6683,42.8
1069,61408,38.5
1071,24992,41.4
1073,476361,37.1
1075,6312,43.5
1077,41708,40.4
1079,11969,40.6
1081,61366,29.5
1083,36482,38.4
1085,5007,40.6
1087,8184,36.3
1089,203657,37.3
1091,11159,40.4
1093,16137,42.8
1095,45856,38.2
1097,216404,36.6
1099,12412,40.1
1101,170004,34.9
1103,62661,39
1105,3826,37.2
1107,6400,41.9
1109,17258,31.4
1111,8590,41.2
1113,16737,35.8
1115,22621,38.6
1117,74629,36.9
1119,5610,37.7
1121,36846,39.3
1123,19109,42.4
1125,100208,31.2
1127,31161,41.2
1129,6160,39.7
1131,4527,38.8
1133,11642,43.1
2000,421347,33.8
2013,3085,42.1
2016,4784,40.7
2020,190167,32.9
2050,8762,26.2
2060,1646,42.8
2068,2364,41.5
2070,4012,29
2090,55656,31
2100,2204,46.9
2105,2521,46
2110,20131,38.1
2122,29713,40.6
2130,10193,38.4
2150,9130,32.5
2164,860,30.8
2170,27806,34.8
2180,4650,27.6
2185,9343,35.1
2188,3298,25.7
2195,4492,41.5
2198,2876,39.9
2220,6624,38.2
2230,0,41.2
2240,3153,37.4
2261,7214,39.8
2270,2702,21.9
2275,0,46.7
2282,644,39.7
2290,3317,35.3
4000,3048069,35.9
4001,25805,32.4
4003,55104,39.7
4005,76816,31
4007,20644,47.9
4009,9976,31.6
4011,4321,34.8
4012,7785,53.9
4013,2046110,34.6
4015,65832,47.6
4017,37019,34.7
4019,466647,37.7
4021,55874,35.3
4023,16102,35.6
4025,79423,49.2
4027,80611,33.8
5000,1530274,37.4
5001,13792,40.7
5003,11357,40.3
5005,21139,50.6
5007,113378,34.3
5009,20241,41.4
5011,6029,40.3
5013,3880,43.4
5015,14853,44
5017,5430,41.8
5019,13643,33.5
5021,7807,43.2
5023,12490,46.8
5025,2062,40.2
5027,12936,37
5029,10715,40.5
5031,54400,33.2
5033,25651,37.6
5035,21587,34.2
5037,8495,39.7
5039,4598,42.7
5041,7385,38.7
5043,9575,36.9
5045,47771,31.5
5047,7507,39.8
5049,4910,47
5051,50842,44.4
5053,6023,39.5
5055,19157,37.9
5057,11859,37.7
5059,11332,40.1
5061,10338,38.4
5063,22014,39
5065,5492,47.3
